中曆紀日	西曆紀日	正朔組	舊年號	新年號
0811-12C-13	0592-01-02	正朔二	開皇十二年	開皇十一年
0811-12C-14	0592-01-03	正朔二	開皇十二年	開皇十一年
0811-12C-15	0592-01-04	正朔二	開皇十二年	開皇十一年
0811-12C-16	0592-01-05	正朔二	開皇十二年	開皇十一年
0811-12C-17	0592-01-06	正朔二	開皇十二年	開皇十一年
0811-12C-18	0592-01-07	正朔二	開皇十二年	開皇十一年
0811-12C-19	0592-01-08	正朔二	開皇十二年	開皇十一年
0811-12C-20	0592-01-09	正朔二	開皇十二年	開皇十一年
0811-12C-21	0592-01-10	正朔二	開皇十二年	開皇十一年
0811-12C-22	0592-01-11	正朔二	開皇十二年	開皇十一年
0811-12C-23	0592-01-12	正朔二	開皇十二年	開皇十一年
0811-12C-24	0592-01-13	正朔二	開皇十二年	開皇十一年
0811-12C-25	0592-01-14	正朔二	開皇十二年	開皇十一年
0811-12C-26	0592-01-15	正朔二	開皇十二年	開皇十一年
0811-12C-27	0592-01-16	正朔二	開皇十二年	開皇十一年
0811-12C-28	0592-01-17	正朔二	開皇十二年	開皇十一年
0811-12C-29	0592-01-18	正朔二	開皇十二年	開皇十一年
0811-12C-30	0592-01-19	正朔二	開皇十二年	開皇十一年
0811-12L-01	0592-01-20	正朔二	開皇十二年	開皇十一年
0811-12L-02	0592-01-21	正朔二	開皇十二年	開皇十一年
0811-12L-03	0592-01-22	正朔二	開皇十二年	開皇十一年
0811-12L-04	0592-01-23	正朔二	開皇十二年	開皇十一年
0811-12L-05	0592-01-24	正朔二	開皇十二年	開皇十一年
0811-12L-06	0592-01-25	正朔二	開皇十二年	開皇十一年
0811-12L-07	0592-01-26	正朔二	開皇十二年	開皇十一年
0811-12L-08	0592-01-27	正朔二	開皇十二年	開皇十一年
0811-12L-09	0592-01-28	正朔二	開皇十二年	開皇十一年
0811-12L-10	0592-01-29	正朔二	開皇十二年	開皇十一年
0811-12L-11	0592-01-30	正朔二	開皇十二年	開皇十一年
0811-12L-12	0592-01-31	正朔二	開皇十二年	開皇十一年
0811-12L-13	0592-02-01	正朔二	開皇十二年	開皇十一年
0811-12L-14	0592-02-02	正朔二	開皇十二年	開皇十一年
0811-12L-15	0592-02-03	正朔二	開皇十二年	開皇十一年
0811-12L-16	0592-02-04	正朔二	開皇十二年	開皇十一年
0811-12L-17	0592-02-05	正朔二	開皇十二年	開皇十一年
0811-12L-18	0592-02-06	正朔二	開皇十二年	開皇十一年
0811-12L-19	0592-02-07	正朔二	開皇十二年	開皇十一年
0811-12L-20	0592-02-08	正朔二	開皇十二年	開皇十一年
0811-12L-21	0592-02-09	正朔二	開皇十二年	開皇十一年
0811-12L-22	0592-02-10	正朔二	開皇十二年	開皇十一年
0811-12L-23	0592-02-11	正朔二	開皇十二年	開皇十一年
0811-12L-24	0592-02-12	正朔二	開皇十二年	開皇十一年
0811-12L-25	0592-02-13	正朔二	開皇十二年	開皇十一年
0811-12L-26	0592-02-14	正朔二	開皇十二年	開皇十一年
0811-12L-27	0592-02-15	正朔二	開皇十二年	開皇十一年
0811-12L-28	0592-02-16	正朔二	開皇十二年	開皇十一年
0811-12L-29	0592-02-17	正朔二	開皇十二年	開皇十一年
0812-11C-23	0593-01-01	正朔二	開皇十三年	開皇十二年
0812-11C-24	0593-01-02	正朔二	開皇十三年	開皇十二年
0812-11C-25	0593-01-03	正朔二	開皇十三年	開皇十二年
0812-11C-26	0593-01-04	正朔二	開皇十三年	開皇十二年
0812-11C-27	0593-01-05	正朔二	開皇十三年	開皇十二年
0812-11C-28	0593-01-06	正朔二	開皇十三年	開皇十二年
0812-11C-29	0593-01-07	正朔二	開皇十三年	開皇十二年
0812-12C-01	0593-01-08	正朔二	開皇十三年	開皇十二年
0812-12C-02	0593-01-09	正朔二	開皇十三年	開皇十二年
0812-12C-03	0593-01-10	正朔二	開皇十三年	開皇十二年
0812-12C-04	0593-01-11	正朔二	開皇十三年	開皇十二年
0812-12C-05	0593-01-12	正朔二	開皇十三年	開皇十二年
0812-12C-06	0593-01-13	正朔二	開皇十三年	開皇十二年
0812-12C-07	0593-01-14	正朔二	開皇十三年	開皇十二年
0812-12C-08	0593-01-15	正朔二	開皇十三年	開皇十二年
0812-12C-09	0593-01-16	正朔二	開皇十三年	開皇十二年
0812-12C-10	0593-01-17	正朔二	開皇十三年	開皇十二年
0812-12C-11	0593-01-18	正朔二	開皇十三年	開皇十二年
0812-12C-12	0593-01-19	正朔二	開皇十三年	開皇十二年
0812-12C-13	0593-01-20	正朔二	開皇十三年	開皇十二年
0812-12C-14	0593-01-21	正朔二	開皇十三年	開皇十二年
0812-12C-15	0593-01-22	正朔二	開皇十三年	開皇十二年
0812-12C-16	0593-01-23	正朔二	開皇十三年	開皇十二年
0812-12C-17	0593-01-24	正朔二	開皇十三年	開皇十二年
0812-12C-18	0593-01-25	正朔二	開皇十三年	開皇十二年
0812-12C-19	0593-01-26	正朔二	開皇十三年	開皇十二年
0812-12C-20	0593-01-27	正朔二	開皇十三年	開皇十二年
0812-12C-21	0593-01-28	正朔二	開皇十三年	開皇十二年
0812-12C-22	0593-01-29	正朔二	開皇十三年	開皇十二年
0812-12C-23	0593-01-30	正朔二	開皇十三年	開皇十二年
0812-12C-24	0593-01-31	正朔二	開皇十三年	開皇十二年
0812-12C-25	0593-02-01	正朔二	開皇十三年	開皇十二年
0812-12C-26	0593-02-02	正朔二	開皇十三年	開皇十二年
0812-12C-27	0593-02-03	正朔二	開皇十三年	開皇十二年
0812-12C-28	0593-02-04	正朔二	開皇十三年	開皇十二年
0812-12C-29	0593-02-05	正朔二	開皇十三年	開皇十二年
0812-12C-30	0593-02-06	正朔二	開皇十三年	開皇十二年
0813-12C-04	0594-01-01	正朔二	開皇十四年	開皇十三年
0813-12C-05	0594-01-02	正朔二	開皇十四年	開皇十三年
0813-12C-06	0594-01-03	正朔二	開皇十四年	開皇十三年
0813-12C-07	0594-01-04	正朔二	開皇十四年	開皇十三年
0813-12C-08	0594-01-05	正朔二	開皇十四年	開皇十三年
0813-12C-09	0594-01-06	正朔二	開皇十四年	開皇十三年
0813-12C-10	0594-01-07	正朔二	開皇十四年	開皇十三年
0813-12C-11	0594-01-08	正朔二	開皇十四年	開皇十三年
0813-12C-12	0594-01-09	正朔二	開皇十四年	開皇十三年
0813-12C-13	0594-01-10	正朔二	開皇十四年	開皇十三年
0813-12C-14	0594-01-11	正朔二	開皇十四年	開皇十三年
0813-12C-15	0594-01-12	正朔二	開皇十四年	開皇十三年
0813-12C-16	0594-01-13	正朔二	開皇十四年	開皇十三年
0813-12C-17	0594-01-14	正朔二	開皇十四年	開皇十三年
0813-12C-18	0594-01-15	正朔二	開皇十四年	開皇十三年
0813-12C-19	0594-01-16	正朔二	開皇十四年	開皇十三年
0813-12C-20	0594-01-17	正朔二	開皇十四年	開皇十三年
0813-12C-21	0594-01-18	正朔二	開皇十四年	開皇十三年
0813-12C-22	0594-01-19	正朔二	開皇十四年	開皇十三年
0813-12C-23	0594-01-20	正朔二	開皇十四年	開皇十三年
0813-12C-24	0594-01-21	正朔二	開皇十四年	開皇十三年
0813-12C-25	0594-01-22	正朔二	開皇十四年	開皇十三年
0813-12C-26	0594-01-23	正朔二	開皇十四年	開皇十三年
0813-12C-27	0594-01-24	正朔二	開皇十四年	開皇十三年
0813-12C-28	0594-01-25	正朔二	開皇十四年	開皇十三年
0813-12C-29	0594-01-26	正朔二	開皇十四年	開皇十三年
0814-11C-15	0595-01-01	正朔二	開皇十五年	開皇十四年
0814-11C-16	0595-01-02	正朔二	開皇十五年	開皇十四年
0814-11C-17	0595-01-03	正朔二	開皇十五年	開皇十四年
0814-11C-18	0595-01-04	正朔二	開皇十五年	開皇十四年
0814-11C-19	0595-01-05	正朔二	開皇十五年	開皇十四年
0814-11C-20	0595-01-06	正朔二	開皇十五年	開皇十四年
0814-11C-21	0595-01-07	正朔二	開皇十五年	開皇十四年
0814-11C-22	0595-01-08	正朔二	開皇十五年	開皇十四年
0814-11C-23	0595-01-09	正朔二	開皇十五年	開皇十四年
0814-11C-24	0595-01-10	正朔二	開皇十五年	開皇十四年
0814-11C-25	0595-01-11	正朔二	開皇十五年	開皇十四年
0814-11C-26	0595-01-12	正朔二	開皇十五年	開皇十四年
0814-11C-27	0595-01-13	正朔二	開皇十五年	開皇十四年
0814-11C-28	0595-01-14	正朔二	開皇十五年	開皇十四年
0814-11C-29	0595-01-15	正朔二	開皇十五年	開皇十四年
0814-11C-30	0595-01-16	正朔二	開皇十五年	開皇十四年
0814-12C-01	0595-01-17	正朔二	開皇十五年	開皇十四年
0814-12C-02	0595-01-18	正朔二	開皇十五年	開皇十四年
0814-12C-03	0595-01-19	正朔二	開皇十五年	開皇十四年
0814-12C-04	0595-01-20	正朔二	開皇十五年	開皇十四年
0814-12C-05	0595-01-21	正朔二	開皇十五年	開皇十四年
0814-12C-06	0595-01-22	正朔二	開皇十五年	開皇十四年
0814-12C-07	0595-01-23	正朔二	開皇十五年	開皇十四年
0814-12C-08	0595-01-24	正朔二	開皇十五年	開皇十四年
0814-12C-09	0595-01-25	正朔二	開皇十五年	開皇十四年
0814-12C-10	0595-01-26	正朔二	開皇十五年	開皇十四年
0814-12C-11	0595-01-27	正朔二	開皇十五年	開皇十四年
0814-12C-12	0595-01-28	正朔二	開皇十五年	開皇十四年
0814-12C-13	0595-01-29	正朔二	開皇十五年	開皇十四年
0814-12C-14	0595-01-30	正朔二	開皇十五年	開皇十四年
0814-12C-15	0595-01-31	正朔二	開皇十五年	開皇十四年
